/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
143.39	309.49	9.31
143.59	406.08	8.90
143.79	345.88	8.74
144.00	387.44	8.32
144.20	390.31	8.69
144.40	188.44	5.49
144.74	182.69	5.24
145.08	225.63	5.66
145.43	309.68	6.72
145.77	260.27	6.55
146.12	254.51	5.44
146.46	254.38	5.66
146.80	244.12	5.74
147.15	267.76	6.01
147.49	254.92	6.05
147.84	207.11	5.84
148.18	213.79	6.20
148.52	241.24	6.13
148.87	219.26	6.43
149.21	252.56	7.37
149.55	247.05	7.17
149.90	260.31	7.19
150.24	234.16	5.95
150.59	228.43	7.29
150.93	242.36	8.07
151.27	222.47	7.84
151.62	198.71	7.07
151.96	229.69	7.33
152.31	252.86	7.61
152.65	297.92	9.11
152.99	273.01	7.92
153.34	305.76	8.68
153.68	323.78	8.47
154.03	387.51	7.97
154.37	298.22	8.69
154.71	264.67	8.32
155.06	258.42	8.08
155.40	239.07	7.61
155.75	252.51	6.64
156.09	291.32	7.68
156.43	232.35	7.05
156.78	187.28	5.82
157.12	181.07	5.83
157.47	200.19	6.71
157.81	200.20	6.45
158.15	184.57	5.46
158.50	235.31	7.57
158.84	222.51	7.02
159.53	194.73	6.07
159.87	199.59	6.10
160.22	217.01	6.43
160.56	191.99	5.62
160.91	203.80	5.77
161.25	217.23	6.27
161.59	222.16	7.19
161.94	193.99	5.49
162.28	239.82	6.63
162.63	228.92	6.99
162.97	239.57	7.58
163.31	237.09	7.09
163.66	262.65	7.62
164.00	306.65	8.15
164.35	278.67	8.69
164.69	287.98	8.98
165.03	265.99	7.60
165.38	270.09	6.75
165.72	270.99	8.72
166.07	322.03	8.05
166.41	378.95	8.30
166.75	277.81	8.25
167.10	281.76	8.28
167.44	244.96	7.67
167.79	257.59	8.21
168.13	274.89	8.98
168.47	296.80	9.41
168.82	281.81	8.67
169.16	263.73	8.08
169.51	263.95	7.34
169.85	268.21	8.90
170.19	320.75	9.87
170.54	309.45	7.89
170.88	296.10	9.35
171.23	318.63	10.20
171.57	318.20	10.91
171.91	321.08	10.35
172.26	318.07	10.51
172.60	323.68	8.88
172.95	307.21	8.68
173.29	309.54	10.19
173.63	317.82	9.48
173.98	309.93	10.95
174.32	247.86	8.16
174.67	238.08	7.86
175.01	262.47	8.95
175.35	266.13	7.84
175.70	294.92	8.66
176.04	257.13	7.56
176.39	215.38	7.54
176.73	256.21	8.25
177.07	259.40	8.08
177.42	249.91	7.54
177.76	256.65	8.55
178.11	263.33	8.27
178.45	280.12	8.91
178.79	278.56	8.91
179.14	301.64	9.35
179.48	313.85	10.90
179.82	295.28	9.27
180.17	306.55	10.17
180.51	299.92	10.18
180.86	307.35	9.72
181.20	272.18	8.60
181.54	271.50	8.48
181.89	287.05	8.83
182.23	322.14	10.41
182.58	314.93	9.85
182.92	286.94	7.81
183.26	291.10	8.32
183.61	304.90	9.12
183.95	320.14	9.70
184.30	325.94	10.12
184.64	306.33	10.16
184.98	291.79	8.84
185.33	258.40	7.59
185.67	223.51	6.97
186.02	106.79	3.21
186.77	107.14	3.24
187.55	108.17	3.39
188.33	100.67	3.30
189.11	87.03	2.68
189.88	89.48	3.04
190.66	94.04	3.37
191.44	100.00	3.30
192.22	90.79	3.05
193.00	98.79	3.67
193.78	91.53	3.17
194.55	87.42	2.84
195.33	86.76	2.84
196.11	91.17	2.99
198.44	106.96	3.83
198.88	103.19	3.42
199.31	107.95	3.35
199.74	105.47	3.68
200.17	94.43	3.08
200.60	87.02	3.07
201.02	94.63	3.22
201.45	95.30	3.24
201.88	98.46	3.36
202.31	101.06	3.17
202.74	97.58	3.07
203.16	98.48	3.37
203.59	102.70	3.50
204.02	104.53	3.17
204.45	101.33	3.25
204.88	97.52	3.13
205.30	96.72	3.11
205.73	94.21	3.22
206.16	96.46	2.84
206.59	98.32	3.54
207.02	97.39	3.21
207.44	95.40	3.19
207.87	102.94	2.64
208.30	76.95	2.68
208.73	83.41	2.88
209.16	80.48	2.70
209.58	90.08	3.22
210.01	87.63	3.04
210.44	81.37	2.68
210.87	99.19	3.31
211.30	100.75	3.90
211.72	94.41	3.37
212.15	89.55	3.36
212.58	92.04	3.32
213.01	100.84	3.72
213.44	99.06	3.58
213.87	106.79	4.19
214.29	103.19	4.01
214.72	101.92	3.33
215.15	95.03	3.16
215.58	93.41	3.17
216.01	97.62	3.33
216.43	109.77	3.48
216.86	108.40	3.67
217.28	118.23	3.39
217.65	121.78	3.05
218.02	128.66	3.39
218.39	143.79	4.22
218.75	165.78	5.34
219.12	206.30	6.04
219.49	244.51	7.12
219.86	251.23	6.59
220.23	256.41	7.43
220.60	267.94	8.10
220.97	241.51	7.48
221.33	187.38	5.71
221.70	211.31	6.18
222.07	201.58	6.28
222.44	190.56	5.76
222.81	194.61	6.10
223.18	203.74	6.36
223.54	218.82	7.01
223.91	229.91	6.97
224.28	201.34	6.04
224.65	215.56	6.79
225.02	165.86	5.24
225.41	115.67	3.94
225.89	116.01	4.22
226.38	102.01	3.48
226.86	102.66	3.48
227.35	92.89	2.93
227.83	82.99	2.83
228.32	86.72	3.08
228.81	89.41	3.24
229.29	76.53	2.88
229.78	72.61	2.40
