/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
972.47	236.48	6.57
972.65	249.41	6.32
972.84	214.29	6.46
973.02	211.31	5.59
973.20	208.30	6.25
973.39	219.11	6.98
973.57	188.43	6.19
973.94	196.36	6.55
974.12	170.95	5.31
974.31	169.56	5.06
974.49	188.63	5.53
974.67	181.67	5.28
974.86	218.72	5.33
975.04	163.76	4.80
975.22	166.13	5.43
975.41	168.47	5.03
975.59	181.20	5.68
975.77	186.20	5.81
975.96	181.02	5.97
976.32	168.68	5.39
976.69	158.00	4.92
977.06	235.83	5.66
977.43	150.92	4.85
977.79	136.40	3.82
978.16	128.63	4.19
978.53	120.39	3.77
978.89	115.75	3.96
979.26	113.22	3.77
979.63	128.43	4.26
979.99	112.25	4.20
980.36	112.96	3.30
980.73	118.06	3.98
981.10	114.85	3.52
981.46	114.74	3.62
981.83	119.99	3.59
982.20	123.82	3.54
982.56	125.72	3.64
982.93	122.59	4.19
983.30	126.07	3.35
983.66	123.73	3.56
984.03	130.85	3.54
984.40	123.48	3.41
984.77	118.22	3.84
985.06	125.35	3.68
985.35	129.99	3.99
985.65	133.39	4.11
985.94	143.53	4.22
986.23	141.85	4.35
986.53	148.04	4.26
986.80	153.77	4.98
987.07	154.05	4.44
987.34	151.86	4.85
987.61	157.82	4.43
987.88	158.48	4.79
988.15	150.90	4.77
988.42	167.79	5.71
988.68	192.98	6.11
988.95	215.16	6.76
989.22	269.29	6.59
989.49	214.11	6.53
989.76	227.66	7.64
990.03	211.80	6.32
990.30	199.13	6.08
990.55	176.56	5.28
990.81	203.41	5.54
991.07	200.94	5.60
991.32	180.95	5.70
991.58	178.95	5.36
991.84	196.07	5.47
992.09	185.05	5.80
992.35	189.37	5.56
992.61	197.64	5.71
992.86	187.97	5.16
993.12	195.24	5.51
993.38	181.16	5.15
993.63	178.66	5.53
993.89	180.18	5.14
994.15	178.45	5.75
994.40	159.09	4.80
994.66	165.51	5.19
994.92	168.42	4.64
995.17	141.65	4.41
995.43	131.95	4.28
995.69	141.48	4.94
995.94	143.14	4.29
996.20	135.25	4.17
996.46	138.79	4.50
996.71	144.87	4.79
996.97	131.22	4.77
997.23	130.17	4.25
997.48	135.08	4.52
997.74	135.58	4.50
997.99	127.90	4.23
998.25	132.48	4.79
998.51	120.45	3.58
998.76	108.99	2.89
999.02	119.97	3.69
999.28	112.77	4.03
999.53	103.59	3.05
999.79	98.80	2.82
1000.05	104.84	3.53
1000.30	101.25	3.25
1000.56	105.19	3.24
1000.82	107.10	3.09
1001.07	103.83	3.29
1001.33	96.42	2.73
1001.59	108.52	3.28
1001.84	101.13	2.84
1002.10	109.10	2.86
1002.36	104.39	3.23
1002.61	97.56	2.98
1002.87	104.84	3.28
1003.13	98.66	3.05
1003.38	123.41	3.74
1003.64	121.09	3.86
1003.90	120.04	3.69
1004.15	123.52	3.97
1004.41	123.03	3.48
1004.67	128.63	3.98
1004.92	142.04	3.74
1005.18	147.11	4.90
1005.44	178.61	4.24
1005.69	139.60	3.61
1005.95	140.81	3.90
1006.21	202.82	5.02
1006.46	236.63	5.55
1006.72	177.75	4.96
1006.98	174.62	5.42
1007.23	175.68	5.34
1007.49	186.45	5.19
1007.74	163.52	5.33
1008.00	178.12	5.35
1008.26	187.78	5.13
1008.51	199.09	5.82
1008.77	227.75	6.00
1009.03	180.23	5.61
1009.28	187.64	6.01
1009.54	143.35	4.13
1009.80	198.93	5.22
1010.12	186.27	5.07
1010.44	178.37	5.45
1010.77	180.34	5.19
1011.09	137.85	4.49
1011.41	179.15	5.42
1011.73	174.77	4.58
1012.05	161.41	4.70
1012.38	153.37	4.24
1012.70	160.73	4.40
1013.02	163.91	4.58
1013.34	179.80	4.81
1013.67	173.49	4.82
1013.99	167.68	4.66
1014.31	171.28	4.81
1014.63	168.44	4.53
1014.95	175.90	5.36
1015.28	157.56	4.78
1015.60	154.84	4.79
1015.92	158.97	4.73
1016.24	158.33	4.62
1016.57	229.59	4.16
1016.89	146.23	4.60
1017.21	138.98	4.13
1017.53	139.98	3.38
1017.85	136.42	4.34
1018.18	129.14	4.20
1018.50	130.87	4.43
1018.82	120.04	3.99
1019.14	130.78	3.75
1019.47	145.46	4.61
1019.79	147.96	5.15
1020.11	142.97	4.27
1020.43	153.35	4.86
1020.75	158.54	4.94
1021.08	160.02	5.07
1021.40	175.81	5.40
1021.72	177.53	5.46
1022.04	155.61	4.99
1022.37	134.40	4.36
1022.69	124.87	4.30
1023.01	123.40	3.97
1023.33	122.62	4.50
1023.65	110.65	3.96
1023.98	118.33	4.21
1024.30	108.53	3.49
1024.62	102.48	3.35
1024.94	103.39	4.00
1025.26	102.59	3.03
1025.59	99.91	3.03
1025.91	103.50	3.48
1026.23	119.29	4.15
1026.55	102.83	2.90
1026.88	102.39	2.86
1027.20	92.20	2.82
1027.52	93.23	2.94
1027.84	96.92	3.13
1028.17	100.89	3.30
1028.49	101.36	3.56
1028.81	105.51	3.22
1029.13	108.90	3.84
1029.45	109.88	3.39
1029.78	126.85	3.45
1030.10	114.28	4.06
1030.42	116.09	3.31
1030.74	115.48	3.21
1031.06	111.95	3.84
1031.39	112.40	3.40
1031.71	114.01	3.59
1032.03	126.91	3.13
1032.35	107.25	3.62
1032.68	103.14	3.41
1033.00	106.29	3.37
1033.32	111.78	3.35
1033.64	118.77	3.70
1033.97	131.55	3.65
1034.29	144.24	4.42
1034.61	140.38	4.50
1034.93	141.22	4.42
1035.25	147.50	4.27
1035.58	151.61	4.04
1035.90	160.15	5.14
1036.22	159.61	4.34
1036.54	146.56	4.66
1036.86	158.48	5.01
1037.19	169.40	5.06
1037.51	175.77	5.73
1037.83	189.24	5.48
1038.15	173.14	5.96
1038.47	191.14	5.79
1038.80	197.39	6.27
1039.12	167.57	5.03
1039.44	188.28	5.16
1039.77	222.33	5.95
1040.09	268.52	6.57
1040.41	313.03	7.03
1040.73	284.51	7.55
1041.09	307.60	7.26
1041.44	253.17	7.67
1041.80	224.99	6.87
1042.15	231.26	7.08
1042.51	213.28	7.03
1042.86	215.91	7.05
1043.22	217.07	6.65
1043.57	197.04	6.51
1043.92	170.28	5.09
1044.28	172.15	5.58
1044.63	155.52	4.48
1044.99	155.30	5.39
1045.34	164.06	5.57
1045.70	232.10	7.21
1046.05	199.25	6.61
1046.41	224.56	7.19
1046.76	219.13	7.01
1047.12	222.47	7.46
1047.48	209.37	6.92
1047.83	218.99	7.92
1048.18	320.22	7.45
1048.54	277.07	7.89
1048.88	273.63	9.40
1049.19	280.11	9.23
1049.50	289.77	9.16
1049.81	281.77	9.37
1050.12	314.43	9.93
1050.44	319.05	9.99
1050.74	327.98	10.34
1051.06	322.89	10.59
1051.36	314.85	11.01
1051.68	364.92	12.82
1051.98	438.68	12.52
1052.30	372.57	13.66
1052.61	309.63	10.44
1052.92	359.06	12.70
1053.11	382.72	13.58
1053.31	425.14	13.70
1053.51	397.70	13.19
1053.71	481.24	12.73
1054.11	393.73	11.37
1054.30	323.12	10.65
1054.50	345.53	10.53
1054.70	362.37	10.48
1054.90	358.46	10.23
1055.10	341.51	10.77
1055.29	334.32	10.26
1055.49	350.88	11.13
1055.69	362.94	11.91
1055.89	379.44	11.96
1056.09	397.53	12.28
1056.28	369.21	12.12
1056.48	358.74	12.92
1056.68	385.97	13.64
1056.88	386.33	13.54
1057.08	384.29	13.07
1057.28	368.38	12.48
1057.47	437.03	12.46
1057.67	354.93	11.95
1057.87	352.65	11.89
1058.07	296.76	10.55
1058.26	279.60	9.19
1058.46	266.74	8.67
1058.66	248.57	8.48
1058.86	217.26	6.56
1059.06	184.74	6.09
1059.25	164.40	5.32
1059.45	151.47	4.44
1059.65	141.02	4.54
1059.85	129.14	3.98
1060.05	135.48	4.58
1060.25	131.80	4.51
1060.44	133.51	3.91
1060.64	135.60	4.08
1060.84	126.92	3.94
1061.04	131.55	4.63
1061.24	147.00	4.15
1061.43	135.87	4.63
1061.63	129.68	4.43
1061.83	138.83	4.77
1062.03	130.22	4.55
1062.22	127.90	4.46
1062.42	129.69	4.01
1062.62	126.82	4.06
1062.82	121.22	3.99
1063.02	119.83	3.80
1063.22	127.86	4.49
1063.41	122.72	3.73
1063.61	120.80	3.75
1063.81	122.92	3.97
1064.01	115.99	3.58
1064.21	128.26	3.89
1064.40	144.47	4.16
1064.60	127.42	3.91
1064.80	131.59	4.40
1065.00	121.46	3.85
1065.20	123.96	3.89
1065.39	123.75	3.84
1065.59	124.08	4.09
1065.79	127.04	4.27
1065.99	128.61	3.89
1066.19	125.39	4.01
1066.39	121.36	3.85
1066.58	119.07	4.01
1066.78	114.79	4.08
1066.98	113.40	3.89
1067.18	116.00	4.08
1067.37	108.78	3.58
1067.57	106.48	3.96
1067.77	100.56	3.90
1067.97	96.47	2.78
1068.17	96.34	3.02
1068.36	94.22	3.04
1068.56	83.17	1.99
1069.16	86.05	2.94
1069.36	89.79	2.78
1069.55	85.54	2.36
1069.75	87.24	2.83
1069.95	91.26	2.35
1070.15	92.23	2.56
1070.35	92.42	2.99
1070.54	105.31	3.16
1070.74	103.74	2.79
1070.94	106.45	3.23
1071.14	125.54	2.92
1071.33	97.35	2.97
1071.53	103.58	2.73
1071.73	100.72	3.43
1071.93	102.29	2.96
1072.13	106.93	3.36
1072.33	102.38	2.38
1072.75	93.50	2.33
1073.18	98.90	2.77
1073.60	104.75	2.90
1074.03	102.31	2.68
1074.45	103.93	2.60
1074.88	108.41	2.74
1075.30	107.53	2.74
1075.73	109.56	2.97
1076.15	110.39	3.37
1076.57	112.85	3.07
1077.00	119.36	3.52
1077.42	116.07	3.53
1077.85	117.70	3.75
1078.27	109.58	2.50
1078.70	120.95	3.16
1079.12	116.67	3.44
1079.55	125.67	3.70
1079.97	143.43	3.50
1080.40	129.05	3.24
1080.82	129.72	3.49
1081.25	124.11	3.65
1081.67	134.54	3.72
1082.10	128.74	3.95
1082.52	125.91	3.77
1082.94	127.08	3.44
1083.37	133.20	3.80
1083.79	129.66	3.72
1084.22	133.09	4.27
1084.64	135.60	4.22
1085.07	133.30	3.61
1085.49	143.93	4.71
1085.92	152.73	4.40
1086.34	172.35	4.87
1086.77	178.95	5.00
1087.19	168.85	5.03
1087.62	163.94	4.55
1087.94	155.97	4.71
1088.27	144.71	4.35
1088.64	125.01	3.41
1089.12	110.14	3.49
1089.60	103.82	3.43
1090.07	136.12	3.71
1090.55	160.71	3.98
1091.02	136.13	3.46
1091.50	146.90	3.89
1091.97	139.73	4.02
1092.45	125.30	3.56
1092.93	133.68	3.64
1093.40	159.48	3.54
1093.88	158.32	4.54
1094.83	159.45	4.57
1095.31	181.82	4.70
1095.78	169.69	4.70
1096.19	177.16	4.94
1096.59	195.29	5.52
1096.99	176.71	5.33
1097.39	185.54	5.25
1097.80	179.67	5.70
1098.20	208.16	6.67
1098.61	195.63	6.47
1099.01	190.08	5.85
1099.41	185.68	6.07
1099.81	205.15	5.98
1100.22	191.36	6.19
1100.62	181.03	6.09
1101.03	181.49	5.81
1101.43	166.55	5.15
1101.83	192.75	7.17
1102.23	180.83	6.21
1102.64	164.96	5.26
1103.04	154.09	5.50
1103.44	170.32	5.67
1103.85	161.04	4.74
1104.25	157.13	4.72
1104.65	140.88	4.40
1105.06	123.10	3.92
1105.46	110.47	3.39
1105.86	90.63	2.99
1106.27	84.31	2.89
1106.67	83.42	2.51
1107.07	90.92	2.51
1107.47	91.46	2.71
1107.88	97.93	2.85
1108.28	101.67	2.60
1108.69	87.97	2.58
1109.09	81.59	2.39
1109.49	90.63	2.62
1109.89	100.32	2.93
1110.30	104.82	2.97
1110.70	99.63	2.34
1111.10	89.02	2.43
1111.51	91.85	3.05
1111.91	99.59	2.45
1112.31	98.58	2.95
1112.72	100.70	3.43
1113.12	108.19	3.27
1113.52	150.08	4.75
1113.93	131.24	3.93
1114.33	122.10	3.92
1114.73	141.99	4.04
1115.14	152.63	4.36
1115.54	118.51	4.09
1115.94	127.33	4.09
1116.35	155.79	5.21
1116.75	151.25	5.14
1117.15	164.37	5.41
1117.55	160.46	4.76
1117.96	205.19	6.24
1118.36	213.52	6.48
1118.77	255.62	7.64
1119.17	257.61	7.54
1119.57	267.17	7.98
1119.97	232.91	7.58
1120.38	266.64	8.60
1120.78	315.75	9.79
1121.18	309.04	9.45
1121.59	410.96	11.62
1121.99	376.71	11.72
1122.39	223.50	6.60
1126.16	205.63	7.01
1126.90	203.79	6.84
1127.64	205.28	7.03
1128.38	207.97	6.83
1129.12	203.54	6.85
1129.86	208.58	7.18
1130.60	207.12	6.81
1131.34	188.36	6.19
1132.09	164.08	5.57
1132.83	164.00	5.89
1133.57	160.59	5.10
1134.31	169.77	5.22
1135.05	175.10	5.24
1135.79	160.77	5.28
1136.53	159.57	5.32
1137.27	174.86	5.50
1138.01	184.70	5.63
1138.75	178.99	5.52
1139.49	156.48	4.92
1140.23	135.99	3.88
1140.97	141.12	4.55
1141.71	146.08	4.61
1142.45	135.23	4.43
1143.19	159.75	5.39
1143.93	178.13	5.68
1144.67	161.12	4.98
1145.41	151.91	4.74
1146.15	128.53	4.13
1146.89	147.18	5.00
1147.63	145.24	5.07
1148.37	130.58	4.56
1149.11	123.68	4.13
1149.86	208.90	4.53
1150.60	125.63	4.21
1151.34	100.19	3.33
1152.08	99.63	3.52
1152.82	119.38	3.96
1153.56	128.01	4.28
1154.30	121.32	4.08
1155.04	107.73	3.54
1155.78	77.31	2.23
1156.52	74.91	2.24
1157.26	101.83	3.54
1158.00	74.38	2.28
1158.74	76.91	2.49
1159.48	81.48	2.64
1160.22	77.85	2.40
1160.96	74.23	2.14
1161.70	75.37	2.36
1162.44	71.43	2.31
1163.18	77.97	2.52
1163.92	78.36	2.86
1164.66	85.70	2.59
1165.40	78.61	2.51
1166.14	76.73	2.47
1166.89	77.70	2.59
1167.63	73.94	2.46
1168.37	69.50	2.19
1169.11	72.82	2.33
1169.85	69.94	2.64
1170.59	71.69	2.55
1171.33	65.49	2.08
1172.07	67.88	2.48
1172.81	62.40	2.12
1173.55	62.06	1.84
1174.29	60.05	2.20
1175.03	56.98	1.91
1175.77	57.13	1.74
1176.51	59.96	1.79
1177.25	60.16	1.97
1177.99	57.19	1.81
1178.73	62.40	1.77
1179.47	67.14	1.90
1180.21	67.06	1.96
1180.95	65.11	1.92
1181.69	60.78	1.60
1182.43	61.10	1.85
1183.17	62.68	1.91
1183.91	64.53	1.93
1184.66	62.00	1.88
1185.40	69.97	2.19
1186.14	77.68	2.56
1186.88	76.74	2.57
1187.62	83.81	2.62
1188.36	81.58	2.26
1189.10	81.20	2.66
1189.84	108.08	3.39
1190.58	115.53	3.71
1191.32	117.64	3.55
1192.06	113.14	3.34
1192.80	85.43	2.52
1193.68	84.90	2.64
1194.56	92.98	2.84
1195.43	103.52	2.97
1196.31	102.71	3.05
1197.19	105.30	3.14
1198.07	103.99	3.19
1198.95	120.91	3.50
1199.83	118.49	3.48
1200.70	117.98	3.51
1201.58	117.30	3.38
1202.46	123.65	3.54
1203.34	126.92	3.88
1204.22	118.18	3.65
1205.09	123.22	3.80
1205.97	122.15	4.07
1206.85	128.99	3.98
1207.73	130.61	3.96
1208.61	139.03	4.47
1209.48	144.19	4.57
1210.36	187.15	4.79
1211.24	130.07	4.31
1212.12	138.74	4.70
1213.00	179.85	5.51
1213.88	146.93	4.99
1214.75	142.65	4.80
1215.63	171.60	6.19
1216.51	165.86	5.82
1217.39	163.83	5.70
1218.27	156.82	5.52
1219.14	159.09	5.29
1220.02	168.40	5.70
1220.90	159.90	5.20
1221.78	150.39	4.98
1222.66	139.54	4.84
1223.53	124.05	3.91
1224.41	166.83	5.03
1225.29	151.32	4.97
1226.17	135.97	4.90
1227.05	110.27	4.06
1227.93	130.53	4.50
1228.80	123.33	4.40
1229.68	120.17	4.08
1230.56	132.88	4.34
1231.44	88.18	2.75
1232.32	59.05	1.89
1233.19	57.42	1.89
1234.07	51.96	1.70
1234.95	50.35	1.62
1235.83	56.77	1.94
1236.71	59.42	1.82
1237.58	49.55	1.91
1240.22	50.78	1.74
1241.10	56.47	1.90
1241.98	59.70	1.91
1242.85	56.74	1.93
1243.73	59.64	1.89
1244.61	61.49	1.89
1245.49	62.66	1.96
1246.37	60.48	1.95
1247.24	57.46	1.97
1249.23	65.91	1.92
1261.90	143.97	4.78
1262.37	180.13	6.06
1262.84	206.88	6.83
1263.31	238.23	7.78
1263.78	243.02	7.88
1264.25	249.55	7.79
1264.72	256.81	8.55
1265.19	287.47	9.47
1265.66	232.54	6.95
1266.13	405.72	12.87
1266.60	403.68	12.67
1267.07	402.54	12.78
1267.54	391.46	13.84
1268.01	345.61	12.07
1268.71	317.18	10.88
1269.42	289.73	10.01
1270.12	292.21	10.01
1270.82	292.22	10.01
1271.53	273.04	9.40
1272.23	232.95	8.24
1272.93	176.97	5.69
1273.64	161.43	4.94
1274.34	155.83	5.16
1275.05	139.70	4.23
1275.75	137.39	4.15
1276.46	108.75	3.40
1277.04	123.21	3.98
1277.63	141.33	4.57
1278.21	144.46	4.44
1278.80	152.74	5.07
1279.39	170.91	5.26
1279.98	188.89	5.31
1280.56	179.81	5.09
1281.15	168.09	4.94
1281.74	217.48	6.53
1282.32	222.85	6.99
1282.91	226.38	7.11
1283.49	213.85	6.80
1284.08	210.96	6.45
1284.67	197.24	5.88
1285.26	222.30	6.94
1285.84	231.87	7.45
1286.43	246.40	7.90
1287.02	240.77	7.78
1288.07	235.10	7.37
1289.24	197.34	6.38
1290.52	195.84	6.41
1291.80	180.66	5.90
1293.08	177.65	5.63
1294.36	153.22	5.34
1295.64	124.96	3.83
1296.92	71.01	2.16
1299.48	102.84	3.33
1300.76	70.08	2.14
1302.04	89.80	2.31
1303.32	136.86	4.74
1304.60	129.43	4.05
1305.88	123.53	4.23
1307.16	123.52	4.08
1308.44	123.49	4.09
1309.72	119.26	3.56
1310.95	123.10	3.87
1312.18	100.05	3.30
1313.41	112.57	3.25
1314.64	102.20	2.99
1315.88	92.29	2.89
1317.11	93.48	2.73
1318.33	94.61	2.69
1319.56	87.41	2.40
1320.80	90.55	2.59
1322.03	94.61	3.08
1323.26	104.17	3.14
1324.49	108.50	3.21
1325.72	88.22	2.79
1326.95	91.79	2.91
1328.18	104.71	3.47
1329.41	108.74	3.55
1330.64	138.62	4.23
1331.88	177.32	5.47
1333.11	164.99	5.21
1334.33	193.37	6.32
1335.56	254.40	8.25
1336.77	273.70	9.01
1337.84	241.85	7.96
1338.90	329.71	11.01
1339.98	314.52	10.54
1341.04	329.83	11.15
1341.69	332.76	11.28
1342.34	315.08	10.64
1342.99	296.06	9.63
1343.64	247.96	8.21
1344.28	213.13	7.00
1344.93	203.21	6.59
1345.58	181.33	5.70
1346.22	138.90	4.65
1346.87	147.10	4.31
1347.52	113.38	3.48
1348.17	114.66	4.04
1348.82	105.07	3.31
1349.47	104.06	3.30
1350.11	158.91	5.17
1350.76	109.67	3.69
1351.41	98.22	2.77
1352.06	106.28	3.13
1352.71	84.21	2.92
1353.36	83.02	2.55
1354.00	79.00	2.50
1354.65	84.38	2.77
1355.30	91.11	2.77
1355.94	86.32	2.85
1356.59	83.77	2.49
1357.33	92.83	2.80
1358.08	101.59	3.09
1358.82	91.79	2.72
1359.55	99.07	2.78
1360.30	103.99	3.02
1361.04	121.25	3.35
1361.78	120.21	3.46
1362.52	119.61	3.40
1363.26	126.54	3.44
1364.00	128.63	3.75
1364.74	132.68	3.67
1365.48	128.00	3.49
1366.22	130.27	3.55
1366.96	128.09	3.77
1367.70	125.03	3.71
1368.44	140.75	4.13
1369.18	142.86	4.13
1369.92	151.03	4.56
1370.66	151.52	4.53
1371.41	148.14	4.65
1372.14	131.09	4.29
1373.09	80.91	2.59
1374.66	96.05	2.94
1376.23	98.46	3.16
1377.79	87.44	2.57
1379.36	117.17	3.74
1380.93	118.57	3.68
1382.49	134.48	4.13
1387.19	97.35	2.90
1388.76	94.66	2.96
1390.33	105.88	3.34
1391.89	92.52	2.94
1393.46	95.52	2.83
1395.03	92.77	2.75
1419.99	170.15	4.65
1420.50	188.03	5.56
1421.01	157.68	4.07
1421.52	180.10	5.22
1422.02	220.64	6.72
1422.53	258.46	7.56
1423.04	224.26	6.26
1423.55	216.42	6.36
1424.06	216.01	6.34
1424.57	225.69	6.44
1425.07	216.12	6.55
1425.58	212.67	6.02
1426.09	201.89	5.88
1426.60	199.08	5.82
1427.11	204.87	6.10
1427.61	190.89	5.46
1428.12	194.74	5.43
1428.63	177.60	5.30
1429.14	175.65	5.18
1429.65	180.84	5.36
1430.15	151.99	4.52
1430.66	154.54	4.45
1431.17	140.54	4.05
1431.68	124.33	3.94
1432.18	126.27	3.97
1432.69	140.81	4.43
1433.20	125.01	3.82
1433.71	128.85	4.08
1434.22	124.43	3.72
1434.72	107.10	3.43
1435.24	135.79	3.73
1435.74	105.06	3.37
1436.25	100.59	3.07
1436.76	99.41	2.59
1437.27	95.37	2.45
1437.78	105.01	3.08
1438.28	102.98	2.70
1438.79	101.30	2.99
1439.30	97.82	2.45
1439.81	107.29	2.94
1440.31	99.82	2.65
1440.82	101.38	2.16
1441.24	96.73	2.44
1441.66	96.00	2.56
1442.08	99.00	2.92
1442.50	102.79	2.55
1442.92	88.38	2.30
1443.34	92.46	2.64
1443.76	88.80	2.41
1444.18	92.63	2.46
1444.60	93.12	2.81
1445.02	96.93	2.39
1445.44	93.20	2.64
1445.86	92.72	2.36
1446.28	87.77	2.42
1446.71	95.09	2.61
1447.12	90.07	2.75
1447.55	94.16	2.40
1447.96	92.99	2.69
1448.39	92.25	2.92
1448.80	87.36	2.55
1449.23	82.41	2.37
1449.64	101.60	3.04
1450.07	99.80	2.52
1450.48	107.36	2.74
1450.90	113.22	3.39
1451.33	116.85	3.34
1451.74	118.98	3.46
1452.17	130.95	3.68
1452.58	140.10	3.77
1453.01	151.05	3.92
1453.42	157.63	4.57
1453.85	168.86	5.17
1454.26	171.67	4.80
1454.69	164.15	4.31
1455.10	146.08	4.12
1455.53	209.67	5.94
1455.95	218.41	6.52
1456.37	224.39	6.57
1456.79	279.52	7.98
1457.21	276.69	8.37
1457.63	198.17	6.24
1458.16	188.36	5.45
1458.91	172.41	5.26
1459.67	162.62	5.19
1460.41	147.00	4.73
1461.17	159.20	4.79
1461.91	157.70	4.87
1462.66	161.55	4.96
1463.41	130.96	3.74
1464.16	120.76	3.91
1464.91	114.93	3.42
1465.66	134.73	4.23
1466.41	91.31	2.68
1467.16	95.84	3.14
1467.92	67.51	1.85
1468.66	68.96	2.08
1469.42	64.73	1.82
1470.16	63.76	1.89
1470.92	69.47	1.87
1471.66	66.98	1.76
1472.42	68.28	1.83
1473.16	72.62	2.02
1473.92	70.85	1.81
1474.66	69.29	1.87
1475.42	70.13	1.98
1476.16	67.74	2.02
1476.92	69.34	1.78
1477.67	66.20	1.76
1478.42	67.79	2.02
1479.17	66.20	1.79
1479.91	65.63	1.74
1480.67	66.26	1.83
1481.41	63.71	1.81
1482.17	67.15	1.69
1482.91	70.27	2.10
1483.67	70.21	2.03
1484.41	73.95	2.08
1485.17	67.61	1.71
1485.92	69.91	2.03
1486.67	83.55	2.27
1487.42	95.33	2.95
1488.17	91.65	2.49
1488.92	103.34	3.03
1489.67	60.93	1.72
1490.74	56.34	1.44
1492.08	78.67	2.04
1494.76	82.36	2.35
1496.08	78.19	2.13
1497.43	86.58	2.42
1498.75	74.23	2.19
1500.10	79.34	2.33
1501.42	71.91	1.92
1502.82	73.58	2.08
1504.24	68.17	1.88
1505.64	62.42	1.71
1507.04	60.38	1.62
1508.44	54.50	1.49
1509.85	37.86	1.01
1511.25	33.03	0.95
1512.65	29.07	0.84
1514.06	30.63	0.88
1515.46	31.45	0.85
1516.86	33.94	1.00
1518.27	30.09	0.88
1519.67	34.13	0.94
1521.07	37.30	1.04
1522.47	50.10	1.52
1523.89	46.04	1.31
1525.29	55.28	1.61
1526.33	56.38	1.70
1527.24	102.69	2.99
1528.14	107.08	3.11
1529.03	122.89	3.77
1529.94	123.24	3.82
1530.84	137.68	3.96
1531.73	140.90	4.27
1532.63	141.64	4.09
1533.54	141.32	4.11
1534.43	142.54	4.53
1535.33	167.82	5.23
1536.24	173.03	5.09
1537.14	177.58	5.16
1538.03	200.01	5.47
1538.93	189.31	5.56
1539.84	168.25	5.05
1540.73	193.76	5.83
1541.63	168.01	5.10
1542.54	169.72	4.82
1543.43	159.44	5.18
1544.33	156.39	5.04
1545.24	158.87	4.74
1546.14	147.14	4.10
1547.03	143.33	3.93
1547.93	129.38	3.89
1548.84	134.01	4.15
1549.73	123.93	4.18
1550.63	103.10	2.99
1551.54	99.57	3.16
1552.43	103.79	3.12
1553.33	87.24	3.04
1554.23	94.55	3.12
1555.14	92.10	2.99
1556.03	88.42	2.68
1556.93	97.65	3.14
1557.84	77.00	2.29
1558.73	64.14	1.91
1559.63	63.80	1.86
1560.54	66.43	2.16
1561.43	62.80	1.84
1562.33	59.19	1.56
1563.23	66.40	1.89
1564.14	59.71	1.63
1565.03	65.24	1.68
1565.93	70.30	1.91
1566.84	76.58	1.94
1567.77	59.91	1.56
1568.70	63.04	1.81
1569.65	85.22	2.59
1570.59	101.36	2.91
1571.52	111.67	3.18
1572.46	105.24	3.00
1573.40	118.89	3.37
1574.34	129.12	3.79
1575.28	129.62	3.90
1576.22	117.75	3.40
1577.16	122.65	3.64
1578.09	124.38	3.49
1579.03	125.27	3.79
1579.97	125.05	3.84
1580.91	119.81	3.91
1581.85	109.91	3.56
1582.79	83.48	2.52
1583.73	89.18	2.48
1584.66	73.36	2.25
1585.61	88.38	2.48
1586.54	100.18	3.01
1587.48	85.02	2.55
1588.42	73.55	2.32
1589.36	76.93	2.32
1590.30	103.91	3.25
1591.23	97.17	2.94
1592.18	95.53	2.97
1593.11	93.55	2.97
1594.05	75.46	2.15
1594.99	98.49	3.00
1595.93	84.29	2.65
1596.87	68.03	1.88
